-461, -1998, 1469
-391, -1720, 1263
-325, -1101, 1121
-172, -676, 986
-20, -421, 945
64, -224, 773
129, 27, 688
129, 27, 688
195, 292, 790
274, 518, 782
320, 493, 622
345, 253, 356
345, 253, 356
-,-,-
219, -427, 26
151, -503, -295
-37, -519, -386
-86, -418, -138
-86, -418, -138
41, -335, 178
80, -388, 478
-16, -536, 711
-181, -641, 1161
-313, -729, 1615
-402, -862, 1674
-467, -1005, 1902
-493, -1180, 1998
-508, -1497, 1998
-515, -1963, 1981
-468, -1998, 1635
-335, -1949, 1176
-205, -1395, 884
-110, -859, 762
-18, -706, 760
35, -702, 703
76, -376, 661
76, -376, 661
81, 116, 829
124, 413, 928
206, 453, 785
274, 323, 567
310, 138, 392
310, 138, 392
-,-,-
223, -378, -171
254, -409, -212
108, -585, -207
-20, -636, -141
-47, -709, -5
-50, -758, -7
-113, -795, 58
-113, -795, 58
-202, -739, 393
-278, -596, 1054
-317, -500, 1449
-407, -616, 1438
-545, -1146, 1582
-670, -1893, 1638
-766, -1998, 1520
-801, -1998, 1498
-658, -1831, 1495
-531, -1515, 1380
-448, -1569, 1218
-396, -1301, 1053
-344, -384, 974
-98, 168, 982
73, 310, 961
183, 273, 680
301, 208, 354
394, 183, 256
394, 183, 256
429, 118, 290
443, 47, 300
-,-,-
0, -537, -209
-19, -507, -212
-171, -585, -45
-171, -585, -45
-310, -838, 60
-402, -1547, 430
-402, -1605, 813
-463, -1254, 826
-535, -1043, 465
-713, -1270, 347
-768, -1883, 811
-823, -1998, 1153
-846, -1982, 962
-887, -1878, 861
-913, -1873, 694
-875, -1731, 892
-756, -1190, 1288
-551, -386, 1621
-243, 149, 1341
131, 288, 669
473, 340, 130
681, 280, -4
681, 280, -4
778, 170, 85
764, -21, 186
717, -184, 128
-,-,-
-256, -843, 152
-272, -1112, 394
-461, -1016, 544
-524, -1290, 540
-608, -1379, 763
-706, -1311, 882
-775, -1137, 701
-813, -1010, 657
-890, -1578, 1096
-937, -1998, 1434
-1044, -1998, 1090
-1105, -1998, 731
-1021, -1953, 632
-992, -1764, 1103
-1142, -1776, 1313
-1102, -1122, 836
-754, -207, 411
-223, 405, 379
261, 785, 608
593, 764, 589
702, 616, 341
698, 293, 67
698, 293, 67
705, 8, 28
754, -96, 44
817, 16, 145
817, 16, 145
-,-,-
609, -36, -389
609, -36, -389
534, -47, -314
354, -90, -318
187, -48, -322
-31, -74, -349
-266, -195, -296
-545, -673, 106
-744, -1460, 674
-697, -1737, 1001
-669, -1485, 1019
-656, -1059, 804
-673, -827, 499
-748, -890, 477
-883, -1438, 1125
-946, -1877, 1323
-1022, -1998, 1167
-1056, -1998, 867
-1000, -1837, 791
-904, -1483, 1051
-762, -1409, 1519
-671, -978, 1396
-440, -452, 863
-87, -154, 557
179, 182, 533
357, 332, 532
357, 332, 532
437, 285, 474
456, 138, 453
